year,substance,mentioned,deaths
2020,01 All drug poisonings,On the death certificate,4561
2020,01 All drug poisonings,Without other drugs,2267
2020,01 All drug poisonings,With alcohol,852
2020,01 All drug poisonings,Without alcohol,3709
2020,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",On the death certificate,2263
2020,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without other drugs,964
2020,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",With alcohol,457
2020,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without alcohol,1806
2020,03 Heroin and Morphine,On the death certificate,1337
2020,03 Heroin and Morphine,Without other drugs,526
2020,03 Heroin and Morphine,With alcohol,276
2020,03 Heroin and Morphine,Without alcohol,1061
2020,04 Methadone,On the death certificate,516
2020,04 Methadone,Without other drugs,125
2020,04 Methadone,With alcohol,102
2020,04 Methadone,Without alcohol,414
2020,05 Tramadol,On the death certificate,203
2020,05 Tramadol,Without other drugs,66
2020,05 Tramadol,With alcohol,40
2020,05 Tramadol,Without alcohol,163
2020,06 Codeine not from compound formulation,On the death certificate,212
2020,06 Codeine not from compound formulation,Without other drugs,72
2020,06 Codeine not from compound formulation,With alcohol,50
2020,06 Codeine not from compound formulation,Without alcohol,162
2020,07 Dihydrocodeine not from compound formulation,On the death certificate,96
2020,07 Dihydrocodeine not from compound formulation,Without other drugs,23
2020,07 Dihydrocodeine not from compound formulation,With alcohol,19
2020,07 Dihydrocodeine not from compound formulation,Without alcohol,77
2020,08 Oxycodone,On the death certificate,102
2020,08 Oxycodone,Without other drugs,39
2020,08 Oxycodone,With alcohol,21
2020,08 Oxycodone,Without alcohol,81
2020,09 Fentanyl,On the death certificate,57
2020,09 Fentanyl,Without other drugs,15
2020,09 Fentanyl,With alcohol,5
2020,09 Fentanyl,Without alcohol,52
2020,10 Fentanyl analogues,On the death certificate,2
2020,10 Fentanyl analogues,Without other drugs,1
2020,10 Fentanyl analogues,Without alcohol,2
2020,11 Buprenorphine,On the death certificate,43
2020,11 Buprenorphine,Without other drugs,9
2020,11 Buprenorphine,With alcohol,8
2020,11 Buprenorphine,Without alcohol,35
2020,12 Other specified opiate,On the death certificate,12
2020,12 Other specified opiate,Without other drugs,1
2020,12 Other specified opiate,With alcohol,2
2020,12 Other specified opiate,Without alcohol,10
2020,13 Unspecified opiate,On the death certificate,150
2020,13 Unspecified opiate,Without other drugs,87
2020,13 Unspecified opiate,With alcohol,16
2020,13 Unspecified opiate,Without alcohol,134
2020,14 Cocaine,On the death certificate,777
2020,14 Cocaine,Without other drugs,220
2020,14 Cocaine,With alcohol,159
2020,14 Cocaine,Without alcohol,618
2020,15 Any amphetamine,On the death certificate,194
2020,15 Any amphetamine,Without other drugs,91
2020,15 Any amphetamine,With alcohol,20
2020,15 Any amphetamine,Without alcohol,174
2020,16 Amphetamine,On the death certificate,99
2020,16 Amphetamine,Without other drugs,41
2020,16 Amphetamine,With alcohol,12
2020,16 Amphetamine,Without alcohol,87
2020,17 Ecstasy/MDMA,On the death certificate,82
2020,17 Ecstasy/MDMA,Without other drugs,41
2020,17 Ecstasy/MDMA,With alcohol,7
2020,17 Ecstasy/MDMA,Without alcohol,75
2020,19 Cannabis,On the death certificate,36
2020,19 Cannabis,Without other drugs,7
2020,19 Cannabis,With alcohol,6
2020,19 Cannabis,Without alcohol,30
2020,20 New psychoactive substance,On the death certificate,137
2020,20 New psychoactive substance,Without other drugs,45
2020,20 New psychoactive substance,With alcohol,22
2020,20 New psychoactive substance,Without alcohol,115
2020,21 Any benzodiazepine,On the death certificate,476
2020,21 Any benzodiazepine,Without other drugs,24
2020,21 Any benzodiazepine,With alcohol,132
2020,21 Any benzodiazepine,Without alcohol,344
2020,22 Diazepam,On the death certificate,304
2020,22 Diazepam,Without other drugs,13
2020,22 Diazepam,With alcohol,84
2020,22 Diazepam,Without alcohol,220
2020,23 Temazepam,On the death certificate,16
2020,23 Temazepam,With alcohol,2
2020,23 Temazepam,Without alcohol,14
2020,24 Zopiclone/Zolpidem,On the death certificate,146
2020,24 Zopiclone/Zolpidem,Without other drugs,20
2020,24 Zopiclone/Zolpidem,With alcohol,35
2020,24 Zopiclone/Zolpidem,Without alcohol,111
2020,25 Pregabalin,On the death certificate,344
2020,25 Pregabalin,Without other drugs,6
2020,25 Pregabalin,With alcohol,75
2020,25 Pregabalin,Without alcohol,269
2020,26 Gabapentin,On the death certificate,118
2020,26 Gabapentin,Without other drugs,2
2020,26 Gabapentin,With alcohol,26
2020,26 Gabapentin,Without alcohol,92
2020,27 Barbiturates,On the death certificate,26
2020,27 Barbiturates,Without other drugs,22
2020,27 Barbiturates,With alcohol,1
2020,27 Barbiturates,Without alcohol,25
2020,28 Any antipsychotics,On the death certificate,143
2020,28 Any antipsychotics,Without other drugs,41
2020,28 Any antipsychotics,With alcohol,37
2020,28 Any antipsychotics,Without alcohol,106
2020,29 Quetiapine,On the death certificate,67
2020,29 Quetiapine,Without other drugs,11
2020,29 Quetiapine,With alcohol,17
2020,29 Quetiapine,Without alcohol,50
2020,30 Clozapine,On the death certificate,15
2020,30 Clozapine,Without other drugs,9
2020,30 Clozapine,With alcohol,5
2020,30 Clozapine,Without alcohol,10
2020,31 Any antidepressant,On the death certificate,517
2020,31 Any antidepressant,Without other drugs,115
2020,31 Any antidepressant,With alcohol,124
2020,31 Any antidepressant,Without alcohol,393
2020,32 Any tricyclic antidepressants,On the death certificate,192
2020,32 Any tricyclic antidepressants,Without other drugs,39
2020,32 Any tricyclic antidepressants,With alcohol,37
2020,32 Any tricyclic antidepressants,Without alcohol,155
2020,33 Amitriptyline,On the death certificate,160
2020,33 Amitriptyline,Without other drugs,29
2020,33 Amitriptyline,With alcohol,31
2020,33 Amitriptyline,Without alcohol,129
2020,34 Dothiepin,On the death certificate,11
2020,34 Dothiepin,Without other drugs,5
2020,34 Dothiepin,With alcohol,1
2020,34 Dothiepin,Without alcohol,10
2020,36 Any SSRI,On the death certificate,165
2020,36 Any SSRI,Without other drugs,38
2020,36 Any SSRI,With alcohol,49
2020,36 Any SSRI,Without alcohol,116
2020,37 Citalopram,On the death certificate,49
2020,37 Citalopram,Without other drugs,12
2020,37 Citalopram,With alcohol,22
2020,37 Citalopram,Without alcohol,27
2020,38 Any other antidepressants,On the death certificate,219
2020,38 Any other antidepressants,Without other drugs,38
2020,38 Any other antidepressants,With alcohol,50
2020,38 Any other antidepressants,Without alcohol,169
2020,39 Mirtazapine,On the death certificate,140
2020,39 Mirtazapine,Without other drugs,8
2020,39 Mirtazapine,With alcohol,39
2020,39 Mirtazapine,Without alcohol,101
2020,40 Venlafaxine,On the death certificate,75
2020,40 Venlafaxine,Without other drugs,28
2020,40 Venlafaxine,With alcohol,9
2020,40 Venlafaxine,Without alcohol,66
2020,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),On the death certificate,235
2020,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),Without other drugs,128
2020,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),With alcohol,57
2020,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),Without alcohol,178
2020,42 Paracetamol,On the death certificate,235
2020,42 Paracetamol,Without other drugs,128
2020,42 Paracetamol,With alcohol,57
2020,42 Paracetamol,Without alcohol,178
2020,44 Paracetamol and codeine compound formulation,On the death certificate,62
2020,44 Paracetamol and codeine compound formulation,With alcohol,12
2020,44 Paracetamol and codeine compound formulation,Without alcohol,50
2020,45 Paracetamol and dihydrocodeine compound formulation,On the death certificate,5
2020,45 Paracetamol and dihydrocodeine compound formulation,With alcohol,1
2020,45 Paracetamol and dihydrocodeine compound formulation,Without alcohol,4
2020,46 Paracetamol not from compound formulation,On the death certificate,165
2020,46 Paracetamol not from compound formulation,Without other drugs,128
2020,46 Paracetamol not from compound formulation,With alcohol,43
2020,46 Paracetamol not from compound formulation,Without alcohol,122
2019,01 All drug poisonings,On the death certificate,4393
2019,01 All drug poisonings,With alcohol,841
2019,01 All drug poisonings,Without alcohol,3552
2019,01 All drug poisonings,Without other drugs,2253
2019,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",On the death certificate,2160
2019,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",With alcohol,431
2019,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without alcohol,1729
2019,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without other drugs,959
2019,03 Heroin and Morphine,On the death certificate,1329
2019,03 Heroin and Morphine,With alcohol,279
2019,03 Heroin and Morphine,Without alcohol,1050
2019,03 Heroin and Morphine,Without other drugs,576
2019,04 Methadone,On the death certificate,407
2019,04 Methadone,With alcohol,72
2019,04 Methadone,Without alcohol,335
2019,04 Methadone,Without other drugs,100
