year,age_group2,N
2002,40,288
2002,20,600
2002,25,1011
2002,35,652
2002,30,1037
2002,18,53
2002,45,125
2002,50,47
2002,0,15
2003,20,807
2003,25,1352
2003,30,1367
2003,35,937
2003,0,16
2003,45,133
2003,55,16
2003,40,375
2003,50,50
2002,55,10
2003,60,10
2003,18,47
2002,60,10
2004,25,1139
2004,40,416
2004,30,1241
2004,35,902
2004,20,600
2004,18,44
2004,50,80
2004,45,158
2004,55,24
2004,0,10
2004,60,10
2005,35,902
2005,30,1174
2005,20,408
2005,50,75
2005,25,892
2005,40,430
2005,45,169
2005,55,15
2005,18,27
2005,0,10
2006,25,920
2006,20,367
2006,35,956
2006,40,498
2006,50,84
2006,30,1118
2006,45,161
2006,55,24
2006,18,11
2005,60,10
2006,0,10
2006,60,10
2007,30,995
2007,35,951
2007,25,831
2007,40,547
2007,50,65
2007,45,217
2007,55,35
2007,20,268
2007,18,23
2007,0,10
2008,25,772
2008,30,944
2008,35,1013
2008,20,238
2008,40,614
2008,50,94
2008,45,243
2008,55,44
2008,60,10
2007,60,10
2008,18,18
2009,25,608
2009,35,903
2009,45,278
2009,30,851
2009,40,639
2009,50,89
2009,20,174
2009,60,16
2009,55,39
2009,18,11
2008,0,10
2010,25,562
2010,50,110
2010,30,861
2010,35,920
2010,20,156
2010,40,676
2010,45,290
2010,55,61
2010,60,17
2010,0,10
2009,0,10
2010,18,14
2011,35,848
2011,45,272
2011,40,625
2011,50,108
2011,30,802
2011,25,410
2011,18,10
2011,60,23
2011,20,122
2011,55,50
2012,35,816
2012,20,103
2012,40,672
2012,30,841
2012,25,423
2012,45,334
2012,50,103
2012,55,31
2012,60,23
2012,0,10
2013,25,433
2013,30,931
2013,40,762
2013,35,952
2013,20,92
2013,45,407
2013,50,155
2013,60,13
2012,18,10
2013,55,38
2013,18,10
2014,20,102
2014,45,532
2014,35,1053
2014,40,922
2014,30,1033
2014,25,455
2014,50,230
2014,60,28
2014,55,62
2014,18,10
2013,0,10
2015,35,1251
2015,40,1053
2015,30,1111
2015,55,93
2015,45,659
2015,25,463
2015,50,292
2015,20,92
2015,60,38
2014,0,10
2016,30,1191
2016,50,378
2016,25,442
2016,40,1302
2016,45,805
2016,35,1511
2015,18,10
2016,55,130
2016,60,47
2016,20,96
2016,18,10
2015,0,10
2017,25,512
2017,40,1348
2017,35,1670
2017,55,137
2017,30,1129
2017,45,905
2017,50,408
2017,60,53
2017,20,78
2017,18,10
2018,25,451
2018,30,1106
2018,50,526
2018,45,1120
2018,35,1757
2018,40,1477
2018,55,168
2018,20,73
2018,60,50
2019,50,638
2019,35,1716
2019,45,1131
2019,40,1569
2019,55,252
2019,25,378
2019,30,1054
2019,20,72
2019,60,88
2018,18,10
2018,0,10
2020,40,1286
2020,35,1171
2020,50,492
2020,45,888
2020,30,604
2020,55,217
2020,25,242
2020,60,77
2019,18,10
2020,20,55
2020,18,10
2021,35,971
2021,50,512
2021,30,556
2021,40,1159
2021,45,834
2021,55,239
2021,60,86
2021,25,180
2021,20,33
2020,0,10
2021,0,10
